Station,Name,Latitude,Longitude,Elevation
TOP01,249,43.12550998,-116.8013974,1832.45
TOP02,274,43.12560459,-116.8015603,1835.62
TOP03,258,43.12572902,-116.8017619,1835.69
TOP04,280,43.12584698,-116.8019344,1835.06
TOP05,279,43.12596533,-116.8020799,1835.26
TOP06,223,43.12606252,-116.8021671,1833.72
TOP07,222,43.12620928,-116.8023396,1832.55
TOP08,263,43.12634974,-116.8024834,1830.15
TOP09,277,43.12643686,-116.8026145,1831.07
TOP10,200,43.12655189,-116.8027244,1829.49
TOP11,273,43.12666905,-116.8028433,1828.81
TOP12,59,43.12677948,-116.8030524,1827.47
TOP13,242,43.12674003,-116.803228,1829.33
TOP14,262,43.1266241,-116.8033681,1831.32
TOP15,228,43.12663831,-116.8035886,1831.46
TOP16,237,43.1265124,-116.8036435,1830.87
TOP17,250,43.1264339,-116.8038132,1830.57
TOP18,128,43.12634576,-116.8039767,1830.6
TOP19,217,43.12624488,-116.804096,1828.73
TOP20,257,43.12617945,-116.8042248,1828.56
TOP21,270,43.1260073,-116.8041484,1828.74
TOP22,269,43.12583556,-116.8039579,1829.79
TOP23,234,43.12569345,-116.8037969,1829.98
TOP24,259,43.12556656,-116.8036705,1830.35
TOP25,183,43.12546093,-116.8035615,1831.43
TOP26,267,43.1252966,-116.8034484,1834.09
TOP27,212,43.1251737,-116.8032903,1834.11
TOP28,229,43.12508251,-116.8030776,1835.19
TOP29,266,43.12494683,-116.8029506,1835.03
TOP30,252,43.12481786,-116.8028627,1835.31
TOP31,261,43.12469091,-116.8027794,1835.64
TOP32,215,43.12472395,-116.802606,1836.95
TOP33,221,43.12478858,-116.8024612,1836.97
TOP34,213,43.12490261,-116.8023562,1837.63
TOP35,255,43.12498012,-116.8022125,1836.99
TOP36,202,43.12508385,-116.8020925,1837.79
TOP37,251,43.1251528,-116.8019492,1837.2
TOP38,197,43.12523129,-116.8018297,1836.64
TOP39,271,43.12535378,-116.8016928,1835.84
TOP40,175,43.12539279,-116.8015533,1835.43
TOP41,260,43.12550101,-116.8019804,1837.13
TOP42,149,43.12544889,-116.8022824,1838.63
TOP43,148,43.12556576,-116.8025817,1838.2
TOP44,169,43.12561661,-116.8028346,1837.67
